16	1	-1280	-1024	0.516	0.488	-1.000	-1.000	4	-1280	-1024	0.516	0.488	-1.000	-1.000	4
36	2	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4
56	3	674	356	0.801	0.481	667.266	3.811	0	710	385	0.517	0.488	667.266	4.102	0
76	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4
96	5	661	479	0.801	0.483	667.266	3.783	0	686	500	0.518	0.490	667.266	3.760	0
116	6	667	499	0.801	0.484	657.250	3.727	0	687	505	0.518	0.491	664.729	3.746	0
136	7	699	570	0.801	0.484	657.250	3.545	0	682	495	0.517	0.491	664.729	3.780	0
156	8	679	506	0.801	0.484	657.250	3.595	0	678	518	0.517	0.492	664.729	3.902	0
194	9	668	504	0.801	0.485	657.250	3.746	0	673	521	0.517	0.492	664.729	3.787	0
196	10	700	535	0.801	0.485	657.250	3.488	0	671	510	0.517	0.492	664.729	3.739	0
216	11	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4
236	12	702	506	0.801	0.485	657.250	3.578	0	683	536	0.517	0.492	664.729	3.633	0
256	13	689	517	0.801	0.485	657.250	3.570	0	702	521	0.517	0.492	664.729	3.721	0
276	14	687	502	0.801	0.485	658.690	3.569	0	709	532	0.517	0.492	664.200	3.681	0
295	15	716	516	0.801	0.485	658.690	3.565	0	688	498	0.516	0.492	664.200	3.735	0
315	16	665	477	0.801	0.485	658.690	3.209	0	696	577	0.517	0.492	664.200	3.506	0
335	17	680	514	0.800	0.484	658.690	3.473	0	690	521	0.516	0.492	664.200	3.735	0
355	18	694	508	0.800	0.484	658.690	3.476	0	685	425	0.516	0.492	664.200	3.517	0
375	19	686	503	0.800	0.484	655.633	3.464	0	699	444	0.516	0.492	664.454	3.598	0
395	20	690	535	0.800	0.484	655.633	3.325	0	717	506	0.516	0.491	664.454	3.600	0
